# pinna.tsv - fundamentum censūs ambiguitatis retentae (lib/ + include/)
# columnae: via, ambigua (in plagula ipsa), aliena, errores
# regeneratio: ./silva/ambigua.sh lib/*.c include/*.h -machina 2>/dev/null | awk '$1!~/^#/' >> (post caput)
# classis dominans: (nomen) * x in corporibus macrorum (conversio-an-multiplicatio;
# nomina localia oraculo ignota) - coloratio 100 + tabula_characterum 46 e 226
lib/actor.c	0	0	0
lib/aedilis.c	0	0	0
lib/arbor.c	0	0	0
lib/arbor2_conditio_evaluare.c	0	0	0
lib/arbor2_expandere.c	0	0	0
lib/arbor2_glr.c	0	0	0
lib/arbor2_glr_tabula.c	0	0	0
lib/arbor2_lapifex_adaptator.c	0	0	0
lib/arbor2_lexema.c	0	0	0
lib/arbor2_scribere.c	0	0	0
lib/arbor2_token.c	0	0	0
lib/arbor_formator.c	0	0	0
lib/arbor_index.c	0	0	0
lib/arbor_lexema.c	0	0	0
lib/arbor_praeparator.c	0	0	0
lib/arbor_syntaxis.c	0	0	0
lib/arbor_typus.c	0	0	0
lib/argumenta.c	0	0	0
lib/arx_caeli.c	0	0	0
lib/atrium.c	3	0	0
lib/base64.c	0	0	0
lib/biblia_dr.c	0	0	0
lib/biblia_visus.c	0	0	0
lib/calendario_visus.c	0	0	0
lib/calendarium_liturgicum.c	0	0	0
lib/canon.c	0	0	0
lib/capitula.c	0	0	0
lib/capsula.c	0	0	0
lib/capsula_caudae.c	0	0	0
lib/chorda.c	3	0	0
lib/chorda_aedificator.c	9	0	0
lib/cliens_tabularii.c	0	0	0
lib/color.c	0	0	0
lib/coloratio.c	100	0	0
lib/concha.c	0	0	0
lib/credo.c	0	0	0
lib/css_lexema.c	0	0	0
lib/cursor.c	0	0	0
lib/cursus.c	0	0	0
lib/delineare.c	0	0	0
lib/dialogus.c	0	0	0
lib/dialogus_importatio.c	0	0	0
lib/differentia.c	0	0	0
lib/dithering.c	0	0	0
lib/elementa.c	0	0	0
lib/entitas.c	0	0	0
lib/entitas_repositorium_impl.c	0	0	0
lib/exemplar.c	0	0	0
lib/fasti.c	0	0	0
lib/fenestra_textus.c	0	0	0
lib/filum.c	0	0	0
lib/flatura.c	5	0	0
lib/fons.c	0	0	0
lib/fons_visus.c	0	0	0
lib/friatio.c	8	0	0
lib/git.c	0	0	0
lib/hospitium.c	5	0	0
lib/html_lexema.c	0	0	0
lib/http.c	0	0	0
lib/imago.c	1	0	0
lib/imago_collatio.c	0	0	0
