# fixtura T35 d: cratis II probationis partitio_aestimatio (vetum sortium)
fixa	COLUMNAE	PROBA	f	h	thesaurus	aurum-x
fixa	PROBA	u	una	A	O
fixa	PROBA	u	una	A	O
fixa	PROBA	u	una	A	O
fixa	PROBA	u	una	A	O
fixa	PROBA	v	una	A	S
fixa	PROBA	v	una	A	S
fixa	PROBA	v	una	A	S
fixa	PROBA	v	una	A	S
fixa	PROBA	v	una	A	S
fixa	PROBA	u	una	B	O
fixa	PROBA	u	una	B	O
fixa	PROBA	u	una	B	O
fixa	PROBA	u	una	B	O
fixa	PROBA	v	una	B	S
fixa	PROBA	v	una	B	S
fixa	PROBA	v	una	B	S
fixa	PROBA	v	una	B	S
fixa	PROBA	v	una	B	S
fixa	PROBA	u	una	C	S
fixa	PROBA	u	una	C	S
fixa	PROBA	u	una	C	S
fixa	PROBA	u	una	C	O
fixa	PROBA	v	una	C	S
fixa	PROBA	v	una	C	S
fixa	PROBA	v	una	C	S
fixa	PROBA	v	una	C	S
fixa	ALIUD	1
